dimension,dim_value,udv_ty_d1,udv_ly_d1,udv_ty_d,udv_ly_d,ord_ty_d1,ord_ly_d1,ord_ty_d,ord_ly_d,gb_ty_d1,gb_ly_d1,gb_ty_d,gb_ly_d,m1vfm_ty_d1,m1vfm_ly_d1,m1vfm_ty_d,m1vfm_ly_d
traffic_source,Unknown,0.0,0.0,0.0,0.0,885.0,1551.0,851.0,1799.0,65132.0,107376.0,64005.0,118781.0,15608.0,25765.0,14710.0,27222.0
traffic_source,Brand SEM,46063.0,50898.0,45137.0,54797.0,1222.0,1404.0,1035.0,1428.0,97990.0,119238.0,89877.0,117596.0,22894.0,29426.0,20985.0,27218.0
traffic_source,Free Referral,4270.0,19240.0,4637.0,27081.0,526.0,758.0,523.0,839.0,44960.0,63800.0,46249.0,71568.0,10447.0,15709.0,10322.0,15930.0
traffic_source,SMS,11910.0,1585.0,12601.0,3462.0,263.0,119.0,256.0,155.0,22286.0,12312.0,23493.0,10334.0,4790.0,2568.0,4931.0,2348.0
traffic_source,Managed Social,60.0,114.0,61.0,154.0,1.0,2.0,2.0,2.0,59.0,126.0,96.0,141.0,16.0,33.0,34.0,26.0
traffic_source,Metasearch,8.0,17.0,14.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,2315.0,78.0,0.0,0.0,232.0,17.0
traffic_source,(null),0.0,0.0,0.0,0.0,547.0,0.0,537.0,14.0,0.0,0.0,212.0,0.0,0.0,0.0,110.0,0.0
traffic_source,Unknown Utm,1946.0,220.0,1455.0,314.0,34.0,2.0,36.0,0.0,5286.0,125.0,2260.0,0.0,891.0,48.0,558.0,0.0
traffic_source,Distribution,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traffic_source,Mobile App Downloads,0.0,0.0,0.0,0.0,137.0,0.0,155.0,0.0,13781.0,0.0,13710.0,0.0,2975.0,0.0,2657.0,0.0
traffic_source,Paid User Referral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traffic_source,Brand Campaign,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
grt_l2,(other/unlisted),16116.0,20643.0,15604.0,19955.0,376.0,617.0,370.0,643.0,11967.0,18144.0,9282.0,19284.0,2240.0,3397.0,1803.0,3544.0
