platform,traffic,uv_ty_d1,uv_ly_d1,uv_ty_d,uv_ly_d,uvrmt_ty_d1,uvrmt_ly_d1,uvrmt_ty_d,uvrmt_ly_d,udvv_ty_d1,udvv_ly_d1,udvv_ty_d,udvv_ly_d,udv_ty_d1,udv_ly_d1,udv_ty_d,udv_ly_d,imp_ty_d1,imp_ly_d1,imp_ty_d,imp_ly_d,ord_ty_d1,ord_ly_d1,ord_ty_d,ord_ly_d,bbc_ty_d1,bbc_ty_d,chkv_ty_d1,chkv_ty_d,chkuv_ty_d1,chkuv_ty_d
touch,SEM (all),128958,98037,15573,98870,,,,,97402,74107,90366,74973,145081,108500,136650,112727,1266662,1169733,1213237,1251717,4436,3477,3759,3509,15790,14246,23969,21578,10728,9544
touch,SEO,23352,69750,3192,72804,,,,,12218,15343,11820,16047,16841,22067,16579,23142,270650,310111,267163,335235,1324,1322,1199,1386,3693,3657,5971,5787,2718,2565
touch,Email,30582,35611,4990,37764,,,,,20272,21533,22250,23492,25875,28832,28539,32044,108941,144325,106647,173821,693,804,719,822,2699,2860,4268,4648,1836,1909
touch,Push Notification,156,4,26,7,,,,,1,0,1,0,1,0,1,0,12,,10,,17,2,8,1,2,,0,,0,
touch,Affiliate,9046,7128,1028,9335,,,,,6194,4630,5256,6449,7746,6267,6797,8386,85320,73482,92809,99708,784,624,657,761,1798,1872,2851,3031,1322,1293
touch,Display,51304,42933,6879,46835,,,,,44987,38353,41537,42011,54423,46712,49908,51102,54135,61628,50334,75992,119,107,113,119,635,590,1074,845,508,457
touch,Other,10377,8968,1857,11170,,,,,5414,6287,5553,7416,7128,7400,7415,9159,97806,73371,105198,107715,488,448,475,461,1407,1527,2692,2819,1302,1301
web,ALL,196676,211096,22239,227942,,,,,83944,78009,91166,88423,122538,123298,133493,140230,2269512,2385556,2541666,2638135,5091,5650,5098,6188,15823,16628,27916,30234,10913,11505
web,Direct,97409,99014,6259,104543,,,,,14823,15337,18808,16557,22022,26061,26766,28973,533038,594808,629641,641233,501,750,483,813,2794,2982,5228,5638,1839,1990
web,Non Brand SEM,,,,,,,,,18088,17904,17192,17819,24413,24071,23671,24602,383022,355777,391327,381167,1141,962,1111,1033,4351,4539,6799,7477,3150,3170
web,Brand SEM,,,,,,,,,6873,8301,6563,8705,13332,17613,13765,19116,505933,608914,530165,666421,375,503,348,541,2643,2629,4689,4628,1764,1720
web,SEM PLA,,,,,,,,,7730,4650,8459,4638,12951,6527,14495,6561,97426,36497,119744,39901,700,703,733,712,13,7,22,17,12,6
web,SEM (all),43694,41413,3939,41730,,,,,32691,30855,32214,31162,50696,48211,51931,50279,986381,1001188,1041236,1087489,2216,2168,2192,2286,7007,7175,11510,12122,4926,4896
web,SEO,16891,36276,2016,37812,,,,,9360,9718,11106,9830,14141,15413,16146,16906,358773,369393,398873,400282,808,858,803,863,2578,2715,4392,4601,1780,1787
web,Email,28270,23445,8791,26302,,,,,21297,13860,22920,16164,25443,20111,27733,23426,155412,216108,181403,266257,482,709,543,856,2062,2255,3853,4331,1293,1420
web,Push Notification,2,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,
web,Affiliate,3363,4055,343,4580,,,,,2338,2890,2550,3061,4242,5137,4524,5663,122931,113121,140244,152624,835,1021,827,1183,618,714,1391,1665,449,500
web,Display,2404,1425,272,1435,,,,,1831,1261,1895,1273,2615,1915,2804,1874,22977,18540,25369,17163,79,66,69,105,82,108,147,184,64,67
web,Other,4643,5468,619,11540,,,,,1604,4088,1673,10376,3379,6450,3589,13109,90000,72398,124900,73087,170,78,181,82,682,679,1395,1693,562,845
other,ALL,0,0,0,0,,,,,,,,,,,,,,,,,1422,1542,1380,1804,,,,,,
